"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bahamas, The","BHS","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","471600000","562000000","686200000","839600000","889700000","939900000","1005300000","1190100000","1375500000","1431700000","1514500000","","1750510000","1771670000","1716350000","1592260000","1589080000","1739670000","1883080000","2086690000","2713700000","2943000000","3015600000","3359600000","3196400000","3028700000","3127000000","3421700000","4193800000","5006500000","5088400000","5045700000","4225400000","4414100000","5125700000","4944700000","4842500000","5461800000","4564300000","4460600000","5084900000",
"Bosnia and Herzegovina","BIH","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085000000","1334000000","2336999933.54599","2672984372.29687","4049326021.48093","4412863888.88889","4157033207.72492","4365003065.51977","4717671799.80751","6961219561.45413","7767381142.85714","8039422648.94767","8107497915.46405","8907162351.29461","11336685140.8029","8584652319.05675","8806994650.23363","10403826142.583","9621562869.53094","9840728395.8998","10498812915.4796","8628568188.26198","8843255471.97557","9258149706.11963",
"Belarus","BLR","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9450000000","6000000000","9814814814.81481","13570247933.8843","12558744545.1494","7552655203.36993","7441153846.15385","9276190109.38222","9727865938.25876","7481164884.97563","9221273498.82313","8685107913.66906","9832808486.87884","12298586055.5826","17184722222.2222","17848607242.3398","23737156177.1562","30431314072.6934","41721254681.6479","30401933404.9409","36934306814.3672","49102934673.3668","48809523809.5238","46436407657.6576","43907521517.9969","32689583071.7066","29922094893.4459","36449516120.6852",
"Belize","BLZ","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","133550000","145350000","126500000","122850000","147950000","128200000","132450000","173100000","213650000","251050000","248100000","288400000","274248250","280961550","304594500","304557200","322397200","364499950","392227550","493526400","613000000","602450000","616700000","653017500","618982100","698550150","750575100","790029600","953288000","751680250","802947600","938361000","990310550","1077233000","1125691100","1179641450","1101296550","1118000000",
"Bermuda","BMU","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1771580000","1734013000","1601009000","1586786000","1649401000","","","","",
"Bolivia","BOL","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","108516001.936593","108516001.936593","133558156.229653","150252925.75836","150252925.75836","185185185.185185","210437710.43771","227272727.272727","244107744.107744","252525252.525253","247727272.727273","267340067.340067","302068446.784505","357671164.417791","562818590.704648","774712643.678161","816491754.122939","956821589.205397","1131534232.88356","1211274646.74832","1011201260.19576","1352344539.15171","1644889781.2919","1303554589.21556","1592952109.46743","1228323587.76353","1017851568.19081","1043169574.42149","1063833480.836","1092054033.16888","1164632089.89331","1440847064.73775","1640403025.25317","1627865935.14806","1626751433.82751","1825637772.63921","2017479801.36365","2326903298.25096","2768710912.68761","2260778163.9254","2294564081.83068","2056200184.65544","2191068898.18689","2131085361.39545","2309688004.03226","3064661856.4114","3752334864.44655","4495795419.80844","6329651161.18426","5705628917.37892","6744572947.39692","9199095430.30128","10233217800.2894","11386396526.7728","13848956005.7887","12231374674.3849","10831641389.2909","11927938929.0883",
"Brazil","BRA","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","1079376914.93865","1118302726.08473","1033970196.04432","2097486800.99115","1204326396.14961","1210637974.35359","1621508461.2021","1764834054.99797","2239326014.7452","2454948720.19931","3153304260.31533","4004245613.85253","5177234171.78625","7532763884.77189","14596797400.1872","14233481672.8226","14401534168.3917","13948797699.9376","15791774010.8349","20642227950.3886","26571483279.6605","25827534749.1203","23307743170.8143","18314364418.7078","16563864377.3291","15818492271.929","17038985216.6532","18211636976.1514","18807996682.1739","23242900390.625","32160000000","47710000000","33590625000","39822360248.4472","53957453464.727","72742324397.9514","75733720724.306","84721451205.9369","81259829211.5467","68433801840.5246","81611100027.3299","81470191055.1824","68004834965.369","72356034124.1469","87897949128.2051","105595456786.066","129232639176.206","167160253710.647","232727652961.064","187616484945.484","260187585266.03","320105810616.93","322009113716.656","344503501692.871","335819379515.512","253273016922.661","216707847234.165","237455748574.293",
"Barbados","BRB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","872719136.876647","836821955.948889","676900000","779893601.153483","821061005.319942","998458708.298116","1073683687.1675","1230845721.67255","1286033908.41744","1372743996.42023","1448450000","1386450000","1381950000","1512750000","1734650000","2016750000","2131850000","2216150000","2433500000","2045250000","2174250000","2266450000","2210000000","2398150000","2336350000","2006600000","2093050000","2096638445.77333",
"Brunei Darussalam","BRN","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","186302269.27654","273689537.384557","259834871.296746","278757071.411003","281002638.522427","396394739.262393","574911264.711377","598759880.721352","734579439.252336","729768102.224326","","","","","","1051120340.46044","1312000000","1487034035.6564","2004297114.79435","2125263027.60243","1978525599.05722","2642867221.67349","3102127659.57447","3040140086.2069","2325525812.6195","2226548672.56637","2149450696.05568","2195267064.79879","2432352284.15056","2358621283.43474","2502655957.87481","2601040675.31843","2892504248.22204","3416827018.77778","3974597798.47587","3841055960.40148","3832783278.32783","5563240321.1702","6758162612.03585","7761349104.85933","5240726124.70403","4226489199.21449","4302837558.8214","4318030688.6813",
"Bhutan","BTN","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","51145038.1679389","70324480.369515","71035940.8033827","75792079.2079208","76389964.7887324","88067906.2247373","105563838.223632","96440586.4197531","139419540.229885","104771410.967344","91892632.7812678","100325417.766051","140203703.703704","103725644.473598","106766337.264903","129190255.935862","144504092.576912","168768107.95924","186282113.427048","212456107.756619","212059054.294615","227453441.407078","264919938.284304","316165538.857879","436818186.231245","527747498.866213","531258319.906416","685306961.55846","729319253.790352","786732031.409784","1121423791.38255","1282994611.15694","1149629845.87516","1119922590.95051","1115099235.39938","1271196289.36701","1174759841.83418","1205470588.23529",
